period,link_id,from_node_id,to_node_id,road,direction,street_name,target_origin,target_position_mi,network_length_mi,lanes,capacity,free_speed,link_type,allowed_use,period_volume,primary_mapped_tmc,mapped_tmc_count,primary_map_status,primary_map_confidence,primary_map_distance_to_tmc_ft,bridge_from_tmc,bridge_to_tmc,bridge_path_miles,t2_hour,assignment_status,assignment_tier,assignment_method,assignment_confidence,selected_tmc,left_anchor_tmc,right_anchor_tmc,left_anchor_distance_mi,right_anchor_distance_mi,anchor_gap_mi,propagation_minutes_per_mile,propagation_anchor_count,profile_detection_succeeded,profile_minimum_ratio,profile_coverage,linear_t2_candidate,profile_t2_candidate,t2_source_method,episode_id,source_screened_accepted,daily_probe_day_count,daily_probe_t2_std_hour,selected_map_status,selected_map_confidence,selected_map_distance_to_tmc_ft
MD,38041,38734,38495,VA-705,WESTBOUND,VA 705 - Braddock Road,mapped_route_link,1.0738509502164502,1.31,1.0,800.0,64.3736,504.0,sov;hov2;hov3;trk;apv;com,1108.29333,110-58161,1,review_od_distance,47.47,61.53,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38044,38737,38143,VA-7,WESTBOUND,VA 7 - E Market Street,mapped_route_link,32.881002561403506,0.83,3.0,960.0,83.68568,302.0,sov;hov2;hov3;trk;apv;com,13496.4375,110+05718,1,matched,86.21,217.04,,,,14.6875,assigned,A_direct,direct_mapped_tmc,high,110+05718,110+05718,110+05718,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110+05718__MD,False,4,0.1082531754730548,matched,86.21,217.04
MD,38045,38737,38172,VA-7,EASTBOUND,VA 7 - Harry Byrd Highway,mapped_route_link,18.757008554385962,0.1,3.0,960.0,83.68568,302.0,sov;hov2;hov3;trk;apv;com,14667.85938,110-05717,1,matched,90.92,352.89,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38051,38739,38524,VA-607,SOUTHBOUND,VA 607 - Loudoun County Parkway,mapped_route_link,4.801300086956521,0.21,3.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,4197.52441,110-58073,1,matched,58.92,377.02,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38052,38739,38525,VA-607,NORTHBOUND,VA 607 - Loudoun County Parkway,mapped_route_link,5.401903347826087,0.6,3.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,4847.19189,110+58074,1,matched,57.95,1062.04,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38058,38745,38109,US-50,WESTBOUND,US 50,mapped_route_link,26.45484722222222,0.21,3.0,960.0,83.68568,402.0,sov;hov2;hov3;trk;apv;com,7928.2915,110+05751,1,matched,96.66,93.64,,,,10.875,assigned,A_direct,direct_mapped_tmc,medium,110+05751,110+05751,110+05751,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110+05751__MD,False,2,1.625,matched,96.66,93.64
MD,38059,38745,38512,US-50,EASTBOUND,US 50,mapped_route_link,16.846362607407407,0.2,3.0,960.0,83.68568,302.0,sov;hov2;hov3;trk;apv;com,10787.52832,110-05750,1,matched,99.57,6.96,,,,13.125,assigned,A_direct,direct_mapped_tmc,medium,110-05750,110-05750,110-05750,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110-05750__MD,False,2,1.125,matched,99.57,6.96
MD,38069,38748,38186,VA-7-BR,EASTBOUND,VA 7 - W Colonial Highway,mapped_route_link,8.383754176470589,1.4,1.0,900.0,83.68568,603.0,sov;hov2;hov3;trk;apv;com,5.6,110+11444,1,matched,91.41,109.89,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38070,38748,38515,VA-7-BR,WESTBOUND,VA 7 - W Colonial Highway,mapped_route_link,1.6329875,0.7,1.0,900.0,74.02964,503.0,sov;hov2;hov3;trk;apv;com,71.63289,110-11443,1,matched,90.08,0.0,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38086,38754,38263,VA-607,SOUTHBOUND,VA 607 - Loudoun County Parkway,mapped_route_link,0.6445168804347825,0.25,2.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,2795.71826,110-58076,2,matched,89.83,0.0,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38087,38754,38755,VA-607,NORTHBOUND,VA 607 - Loudoun County Parkway,mapped_route_link,9.409102173913043,0.21,2.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,2652.19043,110+58077,2,matched,89.05,21.31,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38088,38755,38076,VA-7,EASTBOUND,VA 7 - Harry Byrd Highway,mapped_route_link,23.099252852040816,0.07,3.0,960.0,83.68568,302.0,sov;hov2;hov3;trk;apv;com,17653.88672,110-05715,1,matched,98.71,36.9,,,,10.5,assigned,A_direct,direct_mapped_tmc,high,110-05715,110-05715,110-05715,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110-05715__MD,False,2,0.75,matched,98.71,36.9
MD,38089,38755,38522,VA-7,WESTBOUND,VA 7 - Harry Byrd Highway,mapped_route_link,28.599002544217687,0.54,3.0,960.0,83.68568,302.0,sov;hov2;hov3;trk;apv;com,15247.8877,110+05716,1,matched,95.32,87.73,,,,14.0,assigned,A_direct,direct_mapped_tmc,medium,110+05716,110+05716,110+05716,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110+05716__MD,False,1,0.0,matched,95.32,87.73
MD,38090,38755,38754,VA-607,SOUTHBOUND,VA 607 - Loudoun County Parkway,mapped_route_link,0.4535393804347825,0.21,2.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,2795.71826,110-58076,2,matched,89.83,0.0,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38091,38755,38756,VA-607,NORTHBOUND,VA 607 - Loudoun County Parkway,mapped_route_link,9.839974,0.32,2.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,2728.24805,110P58078,2,review_length,17.94,37.11,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38093,38756,38755,VA-607,SOUTHBOUND,VA 607 - Loudoun County Parkway,mapped_route_link,0.036875,0.32,2.0,600.0,56.3269,304.0,sov;hov2;hov3;trk;apv;com,3375.0957,110N58078,2,review_length,25.22,0.0,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38095,38757,38763,VA-7,EASTBOUND,VA 7 - Harry Byrd Highway,mapped_route_link,6.611155103915662,0.05,2.0,2000.0,120.7005,601.0,sov;hov2;hov3;trk;apv;com,4344.3418,110+04250,1,matched,72.11,1233.46,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38096,38757,38764,VA-7,WESTBOUND,VA 7 - Harry Byrd Highway,mapped_route_link,44.55903097590362,0.04,2.0,2000.0,120.7005,601.0,sov;hov2;hov3;trk;apv;com,3535.39185,110-04249,1,matched,72.41,1237.03,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
MD,38100,38759,38553,VA-606,EASTBOUND,VA 606 - Old Ox Road,mapped_route_link,2.909082505896226,0.35,2.0,600.0,64.3736,203.0,sov;hov2;hov3;trk;apv;com,4497.59082,110+10088,1,matched,69.91,299.19,,,,11.25,assigned,A_direct,direct_mapped_tmc,medium,110+10088,110+10088,110+10088,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110+10088__MD,False,1,0.0,matched,69.91,299.19
MD,38101,38759,38676,VA-606,WESTBOUND,VA 606 - Old Ox Road,mapped_route_link,9.729608949292452,0.61,2.0,900.0,74.02964,503.0,sov;hov2;hov3;trk;apv;com,3311.69458,110-10087,1,matched,73.48,695.24,,,,13.0,assigned,A_direct,direct_mapped_tmc,medium,110-10087,110-10087,110-10087,0.0,0.0,0.0,0.0,,False,,,,,daily_probe_mean,daily_probe_mean__110-10087__MD,False,1,0.0,matched,73.48,695.24
MD,38102,38763,38622,VA-7,EASTBOUND,VA 7 - Harry Byrd Highway,mapped_route_link,6.9044783117469875,0.53,2.0,2000.0,120.7005,501.0,sov;hov2;hov3;trk;apv;com,4344.3418,110+04250,1,matched,72.11,791.65,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
