episode_id,sensor_uid,tmc_code,corridor,link_id,date,period,t0_hour,t2_hour,t3_hour,P_hr,duration_min,threshold_used,min_speed_mph,mean_speed_mph,episode_demand,demand_capacity_ratio,magnitude,road_order,direction,is_clean_valid_episode,corridor_output,tmc,t2_source_method,daily_probe_day_count,daily_probe_t2_min_hour,daily_probe_t2_max_hour,daily_probe_t2_std_hour,screened_acceptance_share,anchor_t2_hour,anchor_source_method,anchor_episode_id,anchor_daily_probe_day_count,anchor_daily_t2_std_hour,anchor_source_reliable
daily_probe_mean__110+04126__MD,,110+04126,I395_NB,,DailyMean,MD,11.4,12.1,12.4,1.25,,,42.348,,,,,11.0,NORTHBOUND,False,I395_NB,110+04126,daily_probe_mean,5,9.0,14.5,1.96596032513375,0.0,,,,,,False
daily_probe_mean__110+04126__PM,,110+04126,I395_NB,,DailyMean,PM,16.25,16.875,18.25,2.25,,,33.6125,,,,,11.0,NORTHBOUND,False,I395_NB,110+04126,daily_probe_mean,4,15.0,18.5,1.5258194519667128,0.5,15.375,daily_probe_mean,daily_probe_mean__110+04126__PM,2.0,0.375,False
state_transition__I395_NB::110+04127__Weekday__0009,I395_NB::110+04127,110+04127,I395_NB,6.0,Weekday,AM,7.5,8.0,8.5,1.25,75.0,46.28715,44.525454545454544,46.28648418972332,2327.4262678533714,1.193551932232498,0.0395660296459636,13.0,NORTHBOUND,False,I395_NB,110+04127,average_weekday,0,,,,0.0,8.166666666666666,daily_probe_mean,daily_probe_mean__110+04127__AM,6.0,0.3435921354681384,True
daily_probe_mean__110+04127__MD,,110+04127,I395_NB,,DailyMean,MD,7.5,9.25,10.25,3.0,,,24.64,,,,,13.0,NORTHBOUND,True,I395_NB,110+04127,daily_probe_mean,2,9.0,9.5,0.25,1.0,9.25,daily_probe_mean,daily_probe_mean__110+04127__MD,2.0,0.25,False
state_transition__I395_NB::110+04128__Weekday__0010,I395_NB::110+04128,110+04128,I395_NB,2.0,Weekday,AM,7.25,8.75,9.75,2.75,165.0,41.524,21.859565217391303,30.31854383758533,4136.771854075966,2.1772483442505086,0.8995803249995029,17.0,NORTHBOUND,True,I395_NB,110+04128,average_weekday,0,,,,1.0,8.75,average_weekday,state_transition__I395_NB::110+04128__Weekday__0010,0.0,,True
daily_probe_mean__110+04128__MD,,110+04128,I395_NB,,DailyMean,MD,9.5,11.0,12.785714285714286,3.5357142857142856,,,5.451428571428572,,,,,17.0,NORTHBOUND,False,I395_NB,110+04128,daily_probe_mean,7,9.0,14.5,1.9318754766140744,0.42857142857142855,10.833333333333334,daily_probe_mean,daily_probe_mean__110+04128__MD,3.0,2.592724864350674,False
state_transition__I395_NB::110+04128__Weekday__0011,I395_NB::110+04128,110+04128,I395_NB,2.0,Weekday,PM,14.25,17.5,19.75,5.75,345.0,41.524,23.562272727272727,32.779417691634144,9222.633828227114,4.85401780433006,0.7623087755850069,17.0,NORTHBOUND,True,I395_NB,110+04128,average_weekday,0,,,,1.0,17.5,average_weekday,state_transition__I395_NB::110+04128__Weekday__0011,0.0,,True
state_transition__I395_NB::110+04129__Weekday__0012,I395_NB::110+04129,110+04129,I395_NB,1.0,Weekday,AM,7.0,8.5,10.0,3.25,195.0,38.69949999999999,17.655,26.946245385049732,4998.265800330681,2.630666210700358,1.191985273293684,19.0,NORTHBOUND,True,I395_NB,110+04129,average_weekday,0,,,,1.0,8.5,average_weekday,state_transition__I395_NB::110+04129__Weekday__0012,0.0,,True
daily_probe_mean__110+04129__MD,,110+04129,I395_NB,,DailyMean,MD,7.875,10.675,13.15,5.5,,,9.32,,,,,19.0,NORTHBOUND,False,I395_NB,110+04129,daily_probe_mean,10,9.0,14.5,1.8270536390593461,0.6,10.642857142857142,daily_probe_mean,daily_probe_mean__110+04129__MD,7.0,2.5208315764316134,False
state_transition__I395_NB::110+04129__Weekday__0013,I395_NB::110+04129,110+04129,I395_NB,1.0,Weekday,PM,13.75,17.25,20.0,6.5,390.0,38.69949999999999,12.727826086956522,21.873902401945884,9262.4333507963,4.8749649214717365,2.040542802486848,19.0,NORTHBOUND,True,I395_NB,110+04129,average_weekday,0,,,,1.0,17.25,average_weekday,state_transition__I395_NB::110+04129__Weekday__0013,0.0,,True
